------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 042A 9E00 EA0E 01
custom name, 96
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 4841
time diff [logger-smartphone](sec), 47
lat, 48.596816
long, -123.144764
accuracy (m), 13.6
------------------------------,--------------------
time,temp
2025-06-24 14:40:01,13.7
2025-06-24 14:45:01,13.7
2025-06-24 14:50:01,13.7
2025-06-24 14:55:01,13.6
2025-06-24 15:00:01,13.6
2025-06-24 15:05:01,13.5
2025-06-24 15:10:01,13.5
2025-06-24 15:15:01,13.6
2025-06-24 15:20:01,13.6
2025-06-24 15:25:01,13.6
2025-06-24 15:30:01,13.5
2025-06-24 15:35:01,13.5
2025-06-24 15:40:01,13.5
2025-06-24 15:45:01,13.5
2025-06-24 15:50:01,13.6
2025-06-24 15:55:01,13.6
2025-06-24 16:00:01,13.6
2025-06-24 16:05:01,13.7
2025-06-24 16:10:01,13.9
2025-06-24 16:15:01,14.2
2025-06-24 16:20:01,14.5
2025-06-24 16:25:01,15.0
2025-06-24 16:30:01,15.4
2025-06-24 16:35:01,15.8
2025-06-24 16:40:01,16.5
2025-06-24 16:45:01,16.7
2025-06-24 16:50:01,17.2
2025-06-24 16:55:01,17.6
2025-06-24 17:00:01,18.2
2025-06-24 17:05:01,19.1
2025-06-24 17:10:01,20.6
2025-06-24 17:15:01,22.3
2025-06-24 17:20:01,23.7
2025-06-24 17:25:01,30.2
2025-06-24 17:30:01,36.6
2025-06-24 17:35:01,40.6
2025-06-24 17:40:01,43.9
2025-06-24 17:45:01,46.5
2025-06-24 17:50:01,47.1
2025-06-24 17:55:01,46.0
2025-06-24 18:00:01,42.0
2025-06-24 18:05:01,38.5
2025-06-24 18:10:01,37.7
2025-06-24 18:15:01,37.8
2025-06-24 18:20:01,37.8
2025-06-24 18:25:01,36.0
2025-06-24 18:30:01,34.3
2025-06-24 18:35:01,36.4
2025-06-24 18:40:01,37.7
2025-06-24 18:45:01,38.3
2025-06-24 18:50:01,39.6
2025-06-24 18:55:01,39.2
2025-06-24 19:00:01,37.7
2025-06-24 19:05:01,35.9
2025-06-24 19:10:01,34.2
2025-06-24 19:15:01,32.9
2025-06-24 19:20:01,34.0
