oyst_num,Area,Mean,Min,Max,Angle,Length,bag_num
6,13.667,160.908,25.667,241.984,74.788,79.318,93-2
7,10.561,109.841,14.089,253.333,-58.456,61.151,93-2
8,12.632,103.476,5.719,245.535,82.041,73.289,93-2
9,13.105,80.089,1.005,244.324,89.87,76.023,93-2
10,14.466,122.305,24.333,248.071,91.409,83.96,93-2
1,15.232,122.181,5.887,222.75,17.934,87.726,94-1
2,15.292,121.594,29.367,245.323,89.887,88.139,94-1
3,10.974,132.549,1,249.901,88.588,63.223,94-1
4,14.273,165.077,3.359,253.333,132.866,82.216,94-1
5,15.682,101.132,13.91,208.574,22.189,90.325,94-1
6,14.602,188.852,1,249.611,72.646,84.178,94-1
7,11.064,124.414,1.865,213.303,86.103,63.697,94-1
8,12.953,156.447,21,252.576,33.542,74.585,94-1
9,11.814,123.877,9.497,239.989,4.957,68.134,94-1
10,16.012,136.983,6.616,247.64,-23.34,92.222,94-1
1,13.81,161.021,13.096,250.975,123.066,79.48,95-1
3,14.322,118.484,3.677,244.651,130.3,82.332,95-1
4,10.952,168.629,51.601,244.003,48.13,62.892,95-1
5,13.239,194.581,87.77,253.903,19.961,76.217,95-1
6,12.938,152.921,30,240.631,-7.903,74.427,95-1
7,11.433,183.896,2.333,251.919,25.957,65.786,95-1
8,11.373,155.891,4,248.429,28.877,65.37,95-1
9,11.945,184.185,67.437,248.391,28.703,68.622,95-1
10,11.494,170.968,73.999,244.606,-27.036,66.017,95-1
1,14.289,152.315,46.333,249.376,34.748,82.771,95-2
2,14.141,152.318,18.146,251.79,40.993,81.893,95-2
3,10.168,135.274,10.044,237.014,11.802,58.926,95-2
4,12.54,206.664,112.667,251.98,89.321,72.664,95-2
5,11.977,99.716,8.478,244.754,25.421,69.391,95-2
6,14.615,169.506,0.577,251.333,71.012,84.67,95-2
7,14.526,152.306,9.539,251.771,101.931,84.118,95-2
8,13.133,119.721,3.264,248,64.13,76.159,95-2
9,11.206,143.779,23.333,248.386,-45.322,64.893,95-2
10,9.724,165.604,30.027,249.602,-43.017,56.282,95-2
1,13.712,162.198,57.102,246.485,94.964,78.499,97-1
3,11.437,124.516,21.284,244.039,88.172,65.523,97-1
4,14.562,92.758,30.566,226.729,91.316,83.451,97-1
5,15.472,139.856,29.611,241.861,89.55,88.657,97-1
6,11.771,131.19,30.246,250.922,93.706,67.372,97-1
7,16.291,88.504,1.641,238.494,91.817,93.404,97-1
8,10.193,109.527,36.032,243.333,87.266,58.415,97-1
9,11.407,106.848,28.592,230.474,79.709,65.321,97-1
10,15.472,119.108,10.676,241.425,93.492,88.645,97-1
1,12.044,85.957,18.891,235.107,110.419,68.654,98-1
2,14.428,133.411,10.871,246.452,107.819,82.274,98-1
3,12.349,141.919,32.19,246.88,94.126,70.467,98-1
4,13.939,119.626,6.99,247.139,55.193,79.637,98-1
5,16.384,115.279,15.343,251.951,42.122,93.581,98-1
6,13.022,172.481,12.413,245.771,75.017,74.387,98-1
7,9.843,183.431,5.333,250.232,122.8,56.159,98-1
8,12.533,133.6,8,244.204,75.285,71.583,98-1
9,14.428,161.468,42.254,252.103,46.548,82.367,98-1
10,10.943,185.619,34.662,251.333,84.369,62.368,98-1
1,16.151,113.874,1.321,241.417,93.217,91.257,98-2
2,17.242,78.205,10.801,233.98,93.427,97.468,98-2
3,13.968,135.75,8.741,251.494,77.735,78.966,98-2
4,16.182,106.453,14.829,249.259,84.234,91.399,98-2
5,17.71,152.511,9.333,246.135,74.443,100.077,98-2
7,16.12,103.718,5.592,229.085,97.455,91.178,98-2
8,12.066,99.38,0.804,251.192,82.415,68.226,98-2
9,12.378,119.289,3.15,244.318,96.372,70.004,98-2
10,15.964,163.305,16.772,251.008,96.179,90.225,98-2
1,13.815,165.573,76.049,249.077,119.524,78.847,99-1
2,15.99,158.861,80.173,243.727,75.324,91.186,99-1
3,15.99,174.838,36,248.302,45.544,91.214,99-1
4,12.13,159.049,71.349,252.473,0.87,69.141,99-1
5,15.5,189.723,40.023,250.94,50.95,88.345,99-1
6,14.091,168.467,50.333,243.998,57.558,80.259,99-1
7,13.141,176.512,69.695,246.971,62.298,74.921,99-1
8,13.111,131.5,43.333,225.403,31.01,74.74,99-1
9,14.857,204.355,21.333,253.333,87.516,84.79,99-1
10,13.203,194.134,96.583,252.84,96.002,75.322,99-1
